品类,品牌,产品,规格,爆款香型,天猫挂价,天猫单ml,配赠,天猫销量原始,达播价,抖音单ml,配赠.1,配赠（可带上机制主图）,抖音销量原始,功效词,一句话卖点,详情页宣传（截图）,小红书用户评价,包装图文件名
洁面,海洋至尊,控油祛痘洁面2.0,151g,/,"原价：¥119.9
 优惠后：¥59.9","原价单ml：¥0.8 /ml 
优惠价单ml：¥0.39 /ml",入会5件礼,8万+,/,/,/,/,8.8万,控油、祛痘、淡印、修护屏障、深层清洁、卸妆、去黑头、平衡水油,"""专研噬油控油祛痘淡印"" —— 专为男士反复油痘肌设计，解决出油多、痘痘反复及痘印残留问题，通过噬油能量元与包裹胶态硫实现16小时长效控油与7天快祛痘，兼顾深层清洁与屏障修护，可卸除淡妆防晒。",,好评点为深层清洁毛孔、防晒淡妆能洗干净、洗后不假滑，配方含包裹水杨酸+超分子水杨酸，闭口痘痘党反馈一周左右红肿痘有缓解。差评/争议：祛痘只是辅助、对囊肿型痘痘无效，干敏皮慎入易爆痘脱皮，宣称的16H控油被部分用户实测打折扣。,洁面_12_81a9168f5b.jpg
洁面,海洋至尊,至尊竹炭深层清肌洁面乳,120g,/,"原价：¥45
 优惠后：¥40","原价单ml：¥0.37 /ml 
优惠价单ml：¥0.33 /ml",入会5件礼,6万+,/,/,/,/,/,去黑头、深层清洁、控油、去角质、卸妆、净肤,"""竹炭深层净透毛孔"" —— 专为男士油性及黑头粉刺肌肤设计，解决毛孔堵塞、黑头堆积及面部粗糙问题，通过竹炭与高领土吸附技术实现深层清洁与去黑头，兼顾温和卸妆与保湿，洗后水润不紧绷。",,"被不少博主称为""黑头终结者""，竹炭吸附油脂感明显，鼻翼小颗粒一周变少，泡沫细腻、男女通用，价位亲民。差评点：清洁力偏强，干皮和敏感肌洗后紧绷起皮，去黑头是物理吸附无法根治、停用即反弹，香精味偏浓不喜者较多。",洁面_13_942a7d38ed.jpg
洁面,海洋至尊,控油舒缓洁面慕斯,150g,/,"原价：¥58.8
 优惠后：¥49.9","原价单ml：¥0.392 /ml 
优惠价单ml：¥0.33 /ml",入会加赠,3000+,/,/,/,/,7000+,温和清洁、控油、舒缓、保湿、修护屏障、褪红、洁面剃须双效,"""敏肌专研洁面剃须双效合一"" —— 专为敏感肌及易出油肤质设计，解决清洁与剃须过程中的脆弱敏感及干燥紧绷问题，通过4+1复配表活体系与多重舒缓成分实现温和净澈与长效控油，达成洗后水润不紧绷、泛红改善的舒缓状态。",,"泵头按压出慕斯泡，省事不用搓，懒人男生最爱，剃须时当剃须膏润滑度够、不拉脸；氨基酸温和，敏肌可用。差评/争议：清洁力相比膏体洁面偏弱、重油皮觉得洗不透，慕斯出量大不耐用，""剃须双效""在小红书讨论极少，被认为更多是营销卖点。小红书原生讨论较少。",洁面_14_4cb5792758.jpg
洁面,谷雨,氨基酸净透洁面液,180ml（单瓶刷头装）/ 450ml（刷头版1支+泵装1支+替换装1支）/ 150ml/支,/,原价：¥99 / 优惠后：¥48.05,原价单ml：¥0.55/ml / 优惠价单ml：¥0.27/ml,/,100万+,99,¥0.55/ml,无,,10万,清洁、净澈毛孔、温和不紧绷、舒缓、氨基酸洁面,"""分区清洁净澈毛孔不伤肤"" —— 专为不同肤质分区肤况的男女用户设计，解决污垢残留、油脂堆积、洗后不适等多重清洁需求，通过专利刷头与SPA级氨基酸洁净科技实现375个按摩触点的科学分区清洁，达成100%毛孔净澈、100%洗后不紧绷、100%温和无刺激。",,【谷雨 氨基酸净透洁面液】小红书互动量高，是品牌爆款。主打氨基酸+自带刷头/泵头设计。好评：泡沫细腻绵密无需起泡网、洗后水润不紧绷、能轻度卸防晒和淡妆、刷头按摩对鼻翼黑头/下巴粉刺有帮助、敏感肌孕妇可用。差评/槽点：浓妆/防水彩妆需先卸妆再用；刷头清洁不到位易藏污；450ml刷头版客单价偏高；个别油皮反馈清洁力略不足。,洁面_15_e76fe00f8c.jpg
洁面,谷雨,控油净透洁面乳,80g（单支装）/ 120g（一支装/两支装）/ 80g双支装 / 120g三支装 / 150g 2支装【重磅新品】,/,原价：¥69 / 优惠后：¥44.33,原价单g：¥0.86/g / 优惠价单g：¥0.55/g,官方立减20元；88VIP95折抵2.45元；淘金币抵0.69元,4万+,¥59（80g*2）,¥0.37/ml,无,,2万+,控油、清毛孔、净彻不紧绷、温和、保湿,"""控油清毛孔净彻不紧绷"" —— 专为中国男性高油脂肤质设计，解决油光满面、洗后紧绷与红敏问题，通过植萃速控油洁颜体系与双重锁水成分实现8H有效控油、全肤质适用，达成净（速控油）、润（不拔干）、柔（温和亲肤）的多效合一净爽体验。",,【谷雨 控油净透洁面乳】小红书白千系列里搭配水乳的搭子单品。好评：温和清洁、泡沫细腻、洗后清爽不拔干、坚持一个月T区出油下降明显、毛孔细化；混油/油痘/敏感肌均反馈友好。差评/槽点：干皮单独使用偏干、清洁力对重彩妆不够要先卸妆、120g/150g大支装单价并不算便宜，与同价位氨基酸洁面相比'差异化'不算突出。,洁面_16_acbd111540.jpg
洁面,谷雨,氨基酸净润洁面乳,60g,/,"原价：¥99
优惠后：¥61.05","原价单g：¥0.55 /g 
优惠价单g：¥0.34 /g",拍1发3支正装,3000+,¥79（60g*3）,¥0.44/ml,无,,10万+,温和清洁、保湿、舒缓、养肤、深层净透,"温和净澈更养肤"" —— 专为全肤质及洁面敏感人群设计，解决清洁力与温和度无法兼顾的痛点，通过3重氨基酸表活体系实现深层净透与根源清洁，兼顾舒缓保湿与屏障修护，洗后清爽不紧绷且不易致敏。",,【谷雨 氨基酸净润洁面乳】小红书真实测评较多。好评：氨基酸配方pH接近肌肤、温和不紧绷不刺痛、泡沫细腻绵密易冲洗无残留、清洁度提升约37%且不拔干、敏感肌/易泛红肌/孕妇可用、有正规备案防伪码；性价比高被称'物超所值'。差评/槽点：不能卸防水彩妆，化妆人群需先卸妆再用；60g容量偏小不够油皮日常用量；与同品牌净透洁面液（带刷头）比，使用仪式感略低。,洁面_17_7fc5689c77.jpg
洁面,谷雨,控油祛痘净澈洁面乳,150g,,"原价：¥79
优惠后：¥50.57","原价单g：¥0.52/g 
优惠价单g：¥0.33 /g",/,2000+,59,¥0.39/ml,无,,3000+,控油、祛痘、去黑头、深层清洁、舒缓、修护屏障、细腻肌肤,"""1泵净油8H控油·7天硬核战痘"" —— 专为重度油痘肌设计，解决面部出油旺盛、痘痘反复及黑头粉刺问题，通过三重氨基酸表活与白泥实现深层净透与根源控油，兼顾舒缓褪红与屏障修护，达成洗后清爽不紧绷的细腻肤感。",,【谷雨 控油祛痘净澈洁面乳】小红书定位为白千控油祛痘系列洁面，常与细肤水、精萃乳一起种草。好评：泡沫丰富细腻、清洁力到位但不过度清洁、不拔干不紧绷、对油痘肌'硬核升级'友好、敏感痘肌反馈也较温和；与水乳搭配实现'清洁→控油→补水→提亮'闭环。差评/槽点：干皮单用偏干、150g大支装客单价不低、控油祛痘以日常护理见长，对重度炎症痘急效感弱；与同价位皂基洁面相比即时清洁感略温和，重油皮可能觉得不够爽。,洁面_18_cd74a70731.jpg
洁面,柯岸,氨基酸洁面慕斯（敏感肌温和保湿）,100ml（单瓶）/ 200ml两瓶装/ 300ml三瓶装,/,"原价：¥109
优惠后：¥60.75","原价单ml：¥1.09 /ml
优惠价单ml：¥0.61 /ml",下单即赠：大豆洁面慕斯30ml+小喷菇精华乳1g,30万+,/,/,/,/,2000+,温和清洁、保湿、舒缓、敏感肌可用、氨基酸洁面、净透,"""敏感肌温和净透氨基酸洁面"" —— 专为敏感肌及干性混合肌设计，解决洁面紧绷、敏感泛红等问题，通过大豆氨基酸表活与温和配方实现深层净透与舒缓保湿，洗后水润不紧绷。",,"小红书博主普遍称作""敏感肌平价氨基酸入门款""，泡沫绵密细腻、清洁温和、洗后不紧绷，适合干敏皮日常基础洁面；价格门槛低、回购率高被对标芙丽芳丝。负面：清洁力对油痘肌偏弱，化彩妆/防晒后还需二次清洁；个别用户反映水流容易出泡过快、用量不易控制，且对有黑头闭口诉求的人作用有限。",洁面_19_76dabb91e3.jpg
洁面,柯岸,氨基酸洁面慕斯（控油祛痘去黑头）,150ml（单瓶）/ 两支装（两瓶装更划算）/ 2件套（300ml替换套装）,/,"原价：¥99
优惠后：¥67.55","原价单ml：¥0.66/ml
优惠价单ml：¥0.45/ml",赠：小喷菇精华乳1g*5+洗发水6g*2,4万+,¥99（150ml*2）,¥0.33/ml,水乳平衡乳小样*5+洁面慕斯30ml旅行装*1,,1万+,控油、祛痘、去黑头、温和清洁、洗卸一体、深层净透,"""24H控油祛痘去黑头温和清洁洗卸一体"" —— 专为男士油痘肌、黑头粉刺设计，解决出油旺盛、痘痘反复与毛孔堵塞问题，通过大豆氨基酸表活实现深层净透与控油祛痘，洗后清爽不紧绷且可卸淡妆防晒。",,"小红书博主反馈控油祛痘去黑头方向明确，泡沫细腻、洗后清爽紧实、对油痘肌、黑头反复人群效果最佳；¥79/150ml囤货价友好。负面：含控油配方+清凉感，敏感肌、屏障受损直接长期用易拔干刺痛；卸妆能力宣传""洗卸一体""但对持久彩妆、强力防晒并不理想；部分人觉得清洁力偏强用完反而促进油脂分泌。",洁面_20_da2fee521c.jpg
洁面,LBR,净澈氨基酸洁面乳,120g（适合油皮/混油皮）/ 240g（控油洁面120g*2支/盒）/ 170g（控油洁面120g+护手霜50g）,/,"原价：¥89
优惠后：¥69.5","原价单g：¥0.74/g
优惠价单g：¥0.58/g","单笔实付满200赠吸油纸1盒；
单笔实付满400赠香体露60g；2件装立减53元",40万+,75.6,¥0.63/ml,"满170元赠吸油纸1盒
满340元赠香体露1瓶",,20万+,控油、清洁、温和、氨基酸洁面、12H持续控油、油皮专用,"""真正控油氨基酸洗面奶12H持续控油"" —— 专为油皮、混油皮设计，解决出油旺盛、毛孔堵塞问题，通过创新复配氨基酸表活与德肤修科技实现深层净透与长效控油，洗后清爽不紧绷。",,"小红书博主评价为""油皮男士实测控油""洗面奶，泡沫细腻、清洁力够、12小时控油宣传基本兑现，配方含氨基酸+德肤修，被对标芙丽芳丝和雅漾。负面：含一定刺激成分、屏障受损/敏感肌、北方冬天用易拔干起皮；卸妆能力对持久彩妆与防晒不足；¥89/120g单价偏高，复购前需评估自己肤况。",洁面_21_2b442f7cb9.jpg
洁面,理然,净润洁面乳,150g（控油体验装单支）/ 150g（抗痘体验装单支）/ 150g*多支量大划算抗痘控油/ 油皮专属（早保湿+晚控油）/ 油痘肌专属（早控油+晚祛痘）/ 痘肌专属（早保湿+晚祛痘）,/,"原价：¥99
优惠后：¥64.87","原价单g：¥0.66/g
优惠价单g：¥0.43/g",满赠,80万+,69.9,¥0.69/ml,买一送一,,2万+,控油、洗净黑头、深层清洁、温和、舒缓、祛痘,"""有效控油洗净黑头"" —— 专为男士油痘肌、黑头粉刺设计，解决出油旺盛、毛孔堵塞与黑头反复问题，通过控油+祛痘双线配方实现深层洁净与温和清洁，洗后清爽不紧绷。",,"小红书博主评价为""理然控油黑头净化""洁面，泡沫细腻、清洁力强、对油皮、黑头粉刺反馈最积极，¥65/150g大容量定位男士平价口粮款。负面：清洁力对干皮、敏感肌偏强，长期用易拔干甚至刺痛；薄荷凉感对屏障受损人群不友好；包装按压头偶尔卡顿；功效定位偏基础，对囊肿型痘痘、严重黑头作用有限。",洁面_22_5a4eb50d29.jpg
洁面,毕生之研,氨基酸白泥洁面乳,100g（1支装）/ 200g（2支装）/ 300g（囤货3支装）,/,"原价：¥81.2
优惠后：¥64.47","原价单g：¥0.81/g
优惠价单g：¥0.64/g",会员下单赠白泥洁面3.0 20g+卸妆油次抛3ml；实付满399元送控油粉饼正装,20万+,69,¥0.69/ml,白泥洁面3020g+卸妆油次抛3ml,,1万+,清洁、净澈、温和、保湿、卸妆、APG表活、油皮温和清洁,"""氨基酸+白泥温和净澈两不误"" —— 专为油皮、混油皮男女设计，解决出油旺盛与肌肤敏感平衡需求，通过24%氨基酸+APG+亚马逊白泥温和复配，0%皂基/SLES，实现深层净澈与温和保湿的双重洁净体验。",,"小红书博主反馈""氨基酸+白泥""温和净澈两不误，泡沫细腻、清洁力适中、对油皮、混油皮反响最好，¥64.47/100g被称作""国货高端氨基酸洁面性价比款""。负面：清洁力对干皮、敏感肌偏强，长期用易拔干；卸妆能力对持久彩妆、防晒不彻底；100g/¥81.2单价中等偏贵；少数反馈管口设计偶有漏液、按压头偶尔卡顿。",洁面_23_f4955c8af3.jpg
洁面,左颜右色,微酸祛痘洗面奶,单支装体验装（150g男士洁面第一）/ 双支装第2瓶30元（150g*2）/ 三支装（三支可用1年）/ 套装郑恺代言护肤礼盒/ 5支装【囤货家庭装】,/,"原价：¥70.5
优惠后：¥56.37","原价单g：¥0.47/g
优惠价单g：¥0.38/g",拍2瓶可得：微酸祛痘洁面150g*2+微酸祛痘洁面15g*3+打泡网*2,100万+,39.97,¥0.26/ml,"微酸祛痘洗面奶150g“3+微酸洁面小样
15g“3+冰川喷雾水100ml1+打泡网”3",,188万+,祛痘、净黑头、淡痘印、控油、深层清洁、男士专用、温和,"""7天祛痘净黑头14天淡痘印持证控油-90.60%"" —— 专为男士油痘肌、黑头粉刺与痘印困扰设计，解决出油旺盛、痘痘反复与黑头堆积问题，通过微酸配方实现持证控油-90.60%、持证祛痘-49.40%、12H长效控油的可见改善。",,"小红书博主誉为""国货男士控油祛痘标杆""，泡沫细腻、清洁力强、对油痘肌、黑头粉刺反响最好，¥56.37/150g超大瓶国民价。负面：清洁力对干皮、敏感肌偏强，长期用易拔干刺痛；卸妆能力对持久彩妆、防晒不够；¥70.5原价偏贵；少数反馈瓶口偶有漏液、按压头偶尔卡顿；销量3000万+但部分用户认为是""大于功效的营销""。",洁面_24_d75ea043da.jpg
洁面,左颜右色,去角质凝胶,150g（贵在运费）/ 300g（第二支20元/店长推荐）/ 300ml（深层补水 控油醒肤）,/,"原价：¥49.9
优惠后：¥38.87","原价单g：¥0.33/g
优惠价单g：¥0.26/g",/,100万+,/,/,/,/,/,去角质、深层清洁毛孔、控油、平滑肌肤、改善粗糙、温和,"""去角质面部死皮深层清洁毛孔"" —— 专为男士肤质粗糙、毛孔堵塞困扰设计，解决老废角质堆积、毛孔黑头与皮肤暗沉问题，通过凝露搓泥型温和去角质实现深层清洁与平滑肌肤，洗后细腻光滑。",,"小红书博主反馈""凝胶搓泥+去角质""思路新颖，使用感舒爽、对粗糙暗沉皮肤约2-3次有可见改善，¥38/150g大容量价格友好。负面：搓泥粒并非真死皮（实为成胶剂），实际去角质效果有限；敏感肌、屏障受损慎用；油皮过度使用反而促进油脂分泌；少数反馈泵头偶尔卡顿；30ml/300ml规格命名混乱不便选购。",洁面_25_c42fd52d32.jpg
洁面,左颜右色,火山泥去黑头洁面乳,单瓶尝鲜装（150g祛痘去黑头/男士洗面奶）/ 双支装第2瓶20元（天猫次日达）/ 2支装（控油·美白·淡斑淡痘印）/ 套装（祛痘去黑头护肤套装）,/,"原价：¥59.9
优惠后：¥47.37","原价单g：¥0.40/g
优惠价单g：¥0.32/g",/,80万+,/,/,/,/,/,祛痘、控油、去黑头、强效吸油脂、滋润温和、深层清洁,"""祛痘控油洗去黑头国货男士洁面销量第一"" —— 专为油痘肌男士设计，解决出油旺盛、毛孔黑头与痘痘反复问题，通过火山泥配方实现清爽净毛孔、强效吸油脂、祛痘清黑头与滋润温和的多效合一洁净体验。",,"小红书博主誉为""国货男士洁面销量第一""，火山泥配方对油痘肌、黑头粉刺反响最积极，泡沫细腻、清洁力强、洗后毛孔可见净化。负面：清洁力对干皮、敏感肌偏强，长期用易拔干甚至引发屏障受损；¥47.37/150g单价中等；薄荷感对屏障弱化人群刺激；功效定位偏基础，对囊肿型痘痘、严重黑头作用有限。",洁面_26_21a312f0dd.jpg
洁面,左颜右色,美白洁面乳,1支装（男士洁面第1升级120g大容量）/ 2支装（超90%用户选择/120g大容量）/ 3支装（荣登3大天猫榜单 7天试用）/ 5支装（囤货家庭装/全网热销400万+）/ 2件套（天猫次日达/永辉等商超爆卖）/ 3件套（痘印面积-19.9%）,/,"原价：¥58.8
优惠后：¥46.37","原价单g：¥0.49/g
优惠价单g：¥0.39/g",/,10万+,69.9,¥0.46/ml,美白洗面奶150g“2+美白洁面15g“1+打泡网“2,,30.7万+,美白、淡斑、控油、淡化痘印、深层清洁、改善暗沉、4维美白配方,"""7天美白14天白透亮郑恺代言"" —— 专为男士暗沉黄黑皮、痘印色斑困扰设计，解决肤色不均、出油暗沉与色斑沉积问题，通过4维美白配方实现色斑-11.31%、出油量-67.50%、光泽度+154.17%的可见改善。",,"小红书博主誉为""郑恺代言美白洁面""，泡沫细腻、对暗沉黄黑皮反响积极，宣传数据可见改善，¥46.37/120g大容量学生党友好。负面：美白功效需持续使用4周以上、洁面停留时间短作用有限；清洁力对干皮、敏感肌偏强，长期用易拔干；销量400万+但部分用户认为是""大于功效的营销""；管口偶有漏液。",洁面_27_7272cafa25.jpg
洁面,自然部落,洁面乳,300g（控油祛痘洁面乳）,植萃淡香,"原价：¥119
优惠后：¥77.47","原价单g：¥0.40/g
优惠价单g：¥0.26/g",/,1万+,/,/,/,/,/,控油、祛痘、清洁、温和、清爽不紧绷、植萃淡香、男士专研,"""控油祛痘洁面乳洗走油痘清爽不紧绷"" —— 专为油痘肌男士设计，解决出油旺盛、痘痘反复与肌肤紧绷问题，通过氨基酸柔活配方与植萃淡香实现深层清洁与温和洁净，洗后清爽不紧绷的舒适肤感。",,"小红书博主反馈""自然部落控油祛痘洁面""性价比高，泡沫细腻、清洁力适中、对油痘肌温和不紧绷，¥77.47/300g大容量被誉为""国货洁面平价款""。负面：祛痘功效偏基础、对中重度痘痘作用有限；植萃淡香味偏淡、追求香氛感的人会失望；少数反馈管口偶有漏液；¥119原价偏贵，需大促入手；卸妆能力对持久彩妆和强力防晒不彻底。",洁面_28_eb4a48ce99.jpg
